City,Country,Population,Area,country population,country area,country density,growth rate,2009 growth rate,2005-2010 growth rate,2010-2015 growth rate,2015-2020 growth rate
Regensburg,Germany,145500,80.76,83408554.0,357137.0,234.0,-0.12,0.11,-0.19,0.2,0.2
Remscheid,Germany,109500,74.6,83408554.0,357137.0,234.0,-0.12,0.11,-0.19,0.2,0.2
Reutlingen,Germany,114310,87.06,83408554.0,357137.0,234.0,-0.12,0.11,-0.19,0.2,0.2
Rostock,Germany,206000,181.44,83408554.0,357137.0,234.0,-0.12,0.11,-0.19,0.2,0.2
Saarbrücken,Germany,178200,167.07,83408554.0,357137.0,234.0,-0.12,0.11,-0.19,0.2,0.2
Salzgitter,Germany,101100,223.92,83408554.0,357137.0,234.0,-0.12,0.11,-0.19,0.2,0.2
Siegen,Germany,102400,114.67,83408554.0,357137.0,234.0,-0.12,0.11,-0.19,0.2,0.2
Solingen,Germany,158700,89.45,83408554.0,357137.0,234.0,-0.12,0.11,-0.19,0.2,0.2
Stuttgart,Germany,623700,207.33,83408554.0,357137.0,234.0,-0.12,0.11,-0.19,0.2,0.2
Trier,Germany,114900,117.06,83408554.0,357137.0,234.0,-0.12,0.11,-0.19,0.2,0.2
Ulm,Germany,122636,118.69,83408554.0,357137.0,234.0,-0.12,0.11,-0.19,0.2,0.2
Wiesbaden,Germany,276200,203.9,83408554.0,357137.0,234.0,-0.12,0.11,-0.19,0.2,0.2
Wolfsburg,Germany,124000,204.02,83408554.0,357137.0,234.0,-0.12,0.11,-0.19,0.2,0.2
Wuppertal,Germany,350000,168.41,83408554.0,357137.0,234.0,-0.12,0.11,-0.19,0.2,0.2
Würzburg,Germany,124900,87.63,83408554.0,357137.0,234.0,-0.12,0.11,-0.19,0.2,0.2
Accra,Ghana,1594400,20.4,32833031.0,238533.0,138.0,2.19,2.17,2.58,2.36,2.16
Ashaiman,Ghana,191000,,32833031.0,238533.0,138.0,2.19,2.17,2.58,2.36,2.16
Koforidua,Ghana,122300,,32833031.0,238533.0,138.0,2.19,2.17,2.58,2.36,2.16
Kumasi,Ghana,1730200,254.0,32833031.0,238533.0,138.0,2.19,2.17,2.58,2.36,2.16
Madina,Ghana,111900,589.0,32833031.0,238533.0,138.0,2.19,2.17,2.58,2.36,2.16
Obuasi,Ghana,168600,,32833031.0,238533.0,138.0,2.19,2.17,2.58,2.36,2.16
Tamale,Ghana,223300,,32833031.0,238533.0,138.0,2.19,2.17,2.58,2.36,2.16
Tema,Ghana,292700,,32833031.0,238533.0,138.0,2.19,2.17,2.58,2.36,2.16
Athinai (Athens),Greece,664000,,10445365.0,131957.0,79.0,-0.35,-0.18,0.26,-0.4,-0.21
Calithèa,Greece,100600,4.749,10445365.0,131957.0,79.0,-0.35,-0.18,0.26,-0.4,-0.21
Heraklion,Greece,140700,244.6,10445365.0,131957.0,79.0,-0.35,-0.18,0.26,-0.4,-0.21
Larissa,Greece,144700,122.59,10445365.0,131957.0,79.0,-0.35,-0.18,0.26,-0.4,-0.21
Patrai,Greece,167400,334.9,10445365.0,131957.0,79.0,-0.35,-0.18,0.26,-0.4,-0.21
Pésterion,Greece,140000,10.05,10445365.0,131957.0,79.0,-0.35,-0.18,0.26,-0.4,-0.21
Piraeus,Greece,163700,50.417,10445365.0,131957.0,79.0,-0.35,-0.18,0.26,-0.4,-0.21
Thessaloniki,Greece,315200,19.307,10445365.0,131957.0,79.0,-0.35,-0.18,0.26,-0.4,-0.21
Ciudad de Guatemala,Guatemala,1022000,220.0,17608483.0,108889.0,162.0,1.54,2.53,2.22,2.1,1.94
Escuintla,Guatemala,114600,545.0,17608483.0,108889.0,162.0,1.54,2.53,2.22,2.1,1.94
Mixco,Guatemala,452100,37.0,17608483.0,108889.0,162.0,1.54,2.53,2.22,2.1,1.94
Quetzaltenango,Guatemala,152200,122.0,17608483.0,108889.0,162.0,1.54,2.53,2.22,2.1,1.94
Villa Nueva,Guatemala,390300,,17608483.0,108889.0,162.0,1.54,2.53,2.22,2.1,1.94
Boke,Guinea,185500,,13531906.0,245857.0,55.0,2.75,2.56,2.18,2.27,2.57
Conakry,Guinea,1659800,450.0,13531906.0,245857.0,55.0,2.75,2.56,2.18,2.27,2.57
Coyah,Guinea,216900,,13531906.0,245857.0,55.0,2.75,2.56,2.18,2.27,2.57
Dubreka,Guinea,157000,,13531906.0,245857.0,55.0,2.75,2.56,2.18,2.27,2.57
Kankan,Guinea,190700,,13531906.0,245857.0,55.0,2.75,2.56,2.18,2.27,2.57
Kindia,Guinea,138700,,13531906.0,245857.0,55.0,2.75,2.56,2.18,2.27,2.57
Nzérékoré,Guinea,195000,,13531906.0,245857.0,55.0,2.75,2.56,2.18,2.27,2.57
Siguiri,Guinea,127500,,13531906.0,245857.0,55.0,2.75,2.56,2.18,2.27,2.57
Bissau,Guinea-Bissau,387900,77.5,2060721.0,36125.0,57.0,2.54,2.39,2.39,2.59,2.44
Georgetown,Guyana,118400,,804567.0,214969.0,4.0,0.28,0.57,-0.12,0.58,0.57
Cap-Haitien,Haiti,113600,53.5,11447569.0,27750.0,413.0,1.18,1.39,1.53,1.38,1.2
Carrefour,Haiti,336200,,11447569.0,27750.0,413.0,1.18,1.39,1.53,1.38,1.2
Delmas,Haiti,284100,,11447569.0,27750.0,413.0,1.18,1.39,1.53,1.38,1.2
Port-au-Prince,Haiti,990600,36.04,11447569.0,27750.0,413.0,1.18,1.39,1.53,1.38,1.2
Catacamas,Honduras,117500,7264.0,10278345.0,112492.0,91.0,1.16,2.03,2.11,1.79,1.63
Choloma,Honduras,231700,467.0,10278345.0,112492.0,91.0,1.16,2.03,2.11,1.79,1.63
Choluteca,Honduras,152500,,10278345.0,112492.0,91.0,1.16,2.03,2.11,1.79,1.63
Comayagua,Honduras,144800,60.5,10278345.0,112492.0,91.0,1.16,2.03,2.11,1.79,1.63
Danlí,Honduras,195900,2518.0,10278345.0,112492.0,91.0,1.16,2.03,2.11,1.79,1.63
El Progreso,Honduras,188400,534.0,10278345.0,112492.0,91.0,1.16,2.03,2.11,1.79,1.63
Juticalpa,Honduras,124800,2605.0,10278345.0,112492.0,91.0,1.16,2.03,2.11,1.79,1.63
La Ceiba,Honduras,197300,654.0,10278345.0,112492.0,91.0,1.16,2.03,2.11,1.79,1.63
Olanchito,Honduras,104600,2019.0,10278345.0,112492.0,91.0,1.16,2.03,2.11,1.79,1.63
Puerto Cortés,Honduras,122400,383.0,10278345.0,112492.0,91.0,1.16,2.03,2.11,1.79,1.63
San Pedro Sula,Honduras,719100,856.0,10278345.0,112492.0,91.0,1.16,2.03,2.11,1.79,1.63
Tegucigalpa,Honduras,1157500,1502.0,10278345.0,112492.0,91.0,1.16,2.03,2.11,1.79,1.63
Villanueva,Honduras,150000,,10278345.0,112492.0,91.0,1.16,2.03,2.11,1.79,1.63
Budapest,Hungary,1758500,525.2,9709786.0,93026.0,104.0,-0.31,-0.28,-0.32,-0.29,-0.34
Debrecen,Hungary,203300,461.25,9709786.0,93026.0,104.0,-0.31,-0.28,-0.32,-0.29,-0.34
Győr,Hungary,129500,174.62,9709786.0,93026.0,104.0,-0.31,-0.28,-0.32,-0.29,-0.34
Kecskemét,Hungary,111800,321.36,9709786.0,93026.0,104.0,-0.31,-0.28,-0.32,-0.29,-0.34
Miskolc,Hungary,158800,236.68,9709786.0,93026.0,104.0,-0.31,-0.28,-0.32,-0.29,-0.34
Nyiregyhaza,Hungary,118100,274.46,9709786.0,93026.0,104.0,-0.31,-0.28,-0.32,-0.29,-0.34
Pécs,Hungary,145700,162.61,9709786.0,93026.0,104.0,-0.31,-0.28,-0.32,-0.29,-0.34
Szeged,Hungary,162600,280.84,9709786.0,93026.0,104.0,-0.31,-0.28,-0.32,-0.29,-0.34
Reykjavík,Iceland,122100,273.0,370335.0,103000.0,4.0,0.89,0.35,1.65,0.61,0.77
Abohar,India,145300,188.24,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Achalpur,India,112300,35.0,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Adilabad,India,117200,35.5,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Adityapur,India,174400,,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Adoni,India,184600,38.16,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Agartala,India,400000,76.504,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Agra,India,1585700,121.0,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Ahmadabad,India,5633900,,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Ahmadnagar,India,350900,39.3,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Aizawl,India,293400,129.91,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Ajmer,India,542300,55.0,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Akbarpur,India,111400,,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Akola,India,425800,124.0,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Alandur,India,164400,,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Alappuzha,India,174164,46.2,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Aligarh,India,874400,,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Allahabad,India,1168400,365.0,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Alwar,India,322600,,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Ambala,India,195100,,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Ambala Sadar,India,105000,,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Ambarnath,India,253500,38.0,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Ambattur,India,466200,45.0,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Ambikapur,India,121000,,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Ambur,India,114600,17.97,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Amravati,India,647100,183.5,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Amreli,India,118000,65.0,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Amritsar,India,1159200,240.0,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Amroha,India,198500,,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Anand,India,209400,,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Anantapur,India,267200,105.98,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Anantnag,India,150600,40.44,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Arrah,India,261400,49.0,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Asansol,India,563900,326.0,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Ashoknagar Kalyangarh,India,121600,20.48,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
"Aurangabad, Bihar",India,102200,1419.7,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
"Aurangabad, Maharashtra",India,1175100,139.0,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Avadi,India,346000,65.0,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Azamgarh,India,111000,,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Badlapur,India,174200,35.68,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Bagaha,India,112600,378.0,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Bagalkot,India,111900,49.06,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Bahadurgarh,India,170800,50.0,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Baharampur,India,195200,104.25,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Bahraich,India,186200,34.0,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Baidyabati,India,121100,12.03,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Baleshwar,India,144300,17.48,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Ballia,India,104400,,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Bally,India,113000,,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Balurghat,India,153300,10.76,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Banda,India,160500,,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Bankura,India,137400,19.06,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Bansberia,India,103900,9.07,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Banswara,India,101000,,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Baran,India,118000,,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Baranagar,India,245200,7.12,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Barasat,India,278400,34.06,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Baraut,India,103800,10.36,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Barddhaman,India,314300,26.3,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Bareilly,India,904800,106.0,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Baripada,India,116800,,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Barnala,India,116400,,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Barrackpur,India,152800,10.61,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Barshi,India,118700,,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Basirhat,India,125300,22.5,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Basti,India,114700,,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Batala,India,158600,42.0,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Bathinda,India,285800,,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Beawar,India,151200,17.0,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Begusarai,India,252000,,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Belgaum,India,490000,94.0,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Bellary,India,410400,180.7,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Bettiah,India,132200,24.0,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Betul,India,103300,,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Bhadrak,India,121300,78.86,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Bhadravati,India,151000,,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Bhadreswar,India,101500,,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Bhagalpur,India,400100,218.28,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Bhalswa Jahangir Pur,India,197100,,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Bharatpur,India,252800,,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Bharuch,India,169000,35.34,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Bhatpara,India,386019,34.69,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Bhavnagar,India,605900,108.27,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Bhilai Nagar,India,627700,357.0,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Bhilwara,India,359500,69.0,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Bhilmavaram,India,147000,,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Bhind,India,197600,,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Bhiwadi,India,104900,300.0,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Bhiwandi,India,709700,,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Bhiwani,India,196100,,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Bhopal,India,1798200,463.0,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Bhubaneswar,India,885400,186.0,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Bhuj,India,148800,56.0,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Bhusawal,India,187400,13.38,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Bid,India,146700,,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Bidar,India,216000,43.0,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Bidhan Nagar,India,215500,,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Biharsharif,India,297300,152.94,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Bijapur,India,327400,102.38,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Bikaner,India,644400,270.0,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Bilaspur,India,365600,,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Bokaro Steel City,India,414800,183.0,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Bongaon,India,108900,14.27,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Botad,India,130300,10.36,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Brahmapur,India,356600,,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Bruhat Bengaluru Mahanagara Palike (Bangalore),India,8495500,,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Budaun,India,159300,81.0,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Bulandshahar,India,230000,72.0,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Bundi,India,104900,179.69,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Burari,India,146200,,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Burhanpur,India,210900,34.6,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Buxar,India,102900,6.2,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Champdani,India,111300,6.59,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Chandannagar,India,166900,19.0,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Chandausi,India,114400,,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Chandigarh,India,970600,114.0,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Chandrapur,India,320400,76.0,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Chapra,India,202400,,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Chas,India,141600,20.49,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Chennai,India,4646700,1189.0,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Chhatarpur,India,142100,78.0,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Chhindwara,India,175100,110.0,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Chilakaluripet,India,101400,15.0,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Chitradurga,India,145900,64.11,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Chittaurgarh,India,116400,41.0,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Chittoor,India,160700,95.97,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Churu,India,120200,,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Coimbatore,India,1050700,246.75,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Cuddalore,India,173600,,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Cuttack,India,610200,192.5,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Dabgram,India,119000,24.06,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Dallo Pura,India,154800,,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Damoh,India,139600,7306.0,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Darbhanga,India,296000,39.83,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Darjiling,India,118800,7.43,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Datia,India,100300,,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Davanagere,India,435000,70.0,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Deesa,India,111200,20.8,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Dehradun,India,574800,196.48,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Dehri,India,137200,,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Delhi Cantonment,India,110400,42.3,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Delhi Municipal Corporation,India,11034600,,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Deoghar,India,203100,119.0,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Deoli,India,169100,,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Deoria,India,129400,,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Dewas,India,289600,50.0,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Dhamtari,India,101700,34.94,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Dhanbad,India,1162500,275.0,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Dharmavaram,India,121900,,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Dhaulpur,India,133100,33.3,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Dhule,India,375600,175.0,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Dibrugarh,India,145500,71.83,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Dimapur,India,122800,18.13,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Dinapur Nizamat,India,182400,,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Dindigul,India,207300,46.9,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Dohad,India,118800,,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Dum Dum,India,114800,9.73,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Durg,India,268800,182.0,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Durgapur,India,566500,154.2,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Eluru,India,218000,11.52,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
English Bazar,India,205500,,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Erode,India,157100,109.52,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Etah,India,118500,,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Etawah,India,256800,,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Faizabad,India,165200,16.02,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Faridabad,India,1414100,189.9,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Farrukhabad-cum-Fatehgarh,India,276600,28.86,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Fatehpur,India,193200,,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Firozabad,India,604200,,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Firozpur,India,110300,,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Gadag-Betigeri,India,172600,54.01,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Gandhidham,India,248000,63.0,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Gandhinagar,India,292800,326.0,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Ganganagar,India,237800,225.0,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Gangapur City,India,119100,16.21,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Gangawati,India,114600,16.53,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Gangtok,India,100300,19.2,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Gaya,India,474100,,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Ghaziabad,India,1648600,210.0,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Ghazipur,India,121000,36.6,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Giridih,India,114500,87.4,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Godhra,India,143600,20.16,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Gokal Pur,India,121900,,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Gonda,India,114000,,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Gondal,India,112200,,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Gondiya,India,132800,55.0,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Gorakhpur,India,673400,226.0,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Greater Hyderabad Municipal Corporation (Hyderabad),India,6993300,,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Greater Mumbai,India,12442400,603.4,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Greater Noida,India,102100,380.0,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Greater Visakhnapatnam Municipal Corporation (Visakhnapatnam),India,1728100,,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Gudivada,India,118200,12.67,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Gulbarga,India,543100,192.0,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
Guna,India,180900,,1407563842.0,3287263.0,428.0,0.7,1.3,1.46,1.23,1.1
